gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score,Gender_encode,race_encode,lunch_encode,test_encode
female,group D,some college,standard,completed,59,70,78,0,3,1,0
male,group D,associate's degree,standard,none,96,93,87,1,3,1,1
female,group D,some college,free/reduced,none,57,76,77,0,3,0,1
male,group B,some college,free/reduced,none,70,70,63,1,1,0,1
female,group D,associate's degree,standard,none,83,85,86,0,3,1,1
male,group C,some high school,standard,none,68,57,54,1,2,1,1
female,group E,associate's degree,standard,none,82,83,80,0,4,1,1
female,group B,some high school,standard,none,46,61,58,0,1,1,1
male,group C,some high school,standard,none,80,75,73,1,2,1,1
female,group C,bachelor's degree,standard,completed,57,69,77,0,2,1,0
male,group B,some high school,standard,none,74,69,69,1,1,1,1
male,group B,master's degree,standard,none,53,50,49,1,1,1,1
male,group B,bachelor's degree,free/reduced,none,76,74,76,1,1,0,1
male,group A,some college,standard,none,70,73,70,1,0,1,1
male,group C,master's degree,free/reduced,none,55,54,52,1,2,0,1
male,group E,master's degree,free/reduced,none,56,46,43,1,4,0,1
female,group C,some college,free/reduced,none,35,47,41,0,2,0,1
female,group C,high school,standard,none,87,92,81,0,2,1,1
female,group E,associate's degree,free/reduced,none,80,82,85,0,4,0,1
female,group D,associate's degree,standard,completed,65,71,74,0,3,1,0
male,group C,high school,free/reduced,none,66,66,62,1,2,0,1
female,group D,associate's degree,standard,completed,67,71,76,0,3,1,0
female,group B,some college,standard,none,70,71,71,0,1,1,1
male,group E,associate's degree,standard,none,89,88,86,1,4,1,1
male,group D,associate's degree,standard,completed,99,85,88,1,3,1,0
male,group B,some college,standard,none,74,83,72,1,1,1,1
male,group D,high school,free/reduced,none,58,52,51,1,3,0,1
male,group D,some high school,standard,none,70,66,59,1,3,1,1
female,group E,associate's degree,standard,none,80,79,71,0,4,1,1
male,group D,associate's degree,standard,none,90,87,86,1,3,1,1
female,group B,associate's degree,standard,completed,80,81,85,0,1,1,0
female,group D,associate's degree,free/reduced,none,68,76,79,0,3,0,1
female,group B,high school,free/reduced,completed,69,78,75,0,1,0,0
female,group D,master's degree,free/reduced,none,32,35,37,0,3,0,1
male,group D,high school,standard,completed,82,82,82,1,3,1,0
female,group A,some high school,standard,none,57,53,54,0,0,1,1
female,group E,some college,free/reduced,none,69,74,75,0,4,0,1
male,group D,associate's degree,standard,completed,68,66,72,1,3,1,0
male,group C,associate's degree,free/reduced,completed,74,85,87,1,2,0,0
male,group E,master's degree,standard,none,89,85,78,1,4,1,1
male,group C,associate's degree,free/reduced,completed,46,46,48,1,2,0,0
male,group C,associate's degree,standard,completed,76,82,77,1,2,1,0
male,group B,high school,standard,none,86,82,72,1,1,1,1
male,group D,some college,standard,none,69,73,67,1,3,1,1
female,group B,high school,standard,none,52,56,54,0,1,1,1
male,group C,bachelor's degree,standard,none,63,71,65,1,2,1,1
male,group A,associate's degree,standard,completed,96,82,90,1,0,1,0
male,group C,some college,standard,completed,80,76,68,1,2,1,0
female,group E,high school,standard,none,59,52,56,0,4,1,1
male,group D,some high school,standard,completed,80,77,80,1,3,1,0
female,group E,high school,free/reduced,completed,65,77,74,0,4,0,0
female,group E,master's degree,free/reduced,completed,74,83,84,0,4,0,0
male,group D,some high school,standard,none,90,93,84,1,3,1,1
female,group B,some college,standard,completed,69,72,72,0,1,1,0
male,group C,high school,standard,none,69,67,63,1,2,1,1
female,group C,some college,standard,none,62,64,61,0,2,1,1
female,group D,master's degree,standard,none,67,75,80,0,3,1,1
female,group E,some high school,standard,completed,89,93,93,0,4,1,0
female,group C,bachelor's degree,standard,none,79,86,78,0,2,1,1
male,group C,some high school,standard,none,67,66,66,1,2,1,1
male,group D,some high school,standard,completed,82,74,75,1,3,1,0
male,group C,some high school,free/reduced,completed,63,69,63,1,2,0,0
female,group D,some college,free/reduced,none,71,83,80,0,3,0,1
female,group C,associate's degree,standard,none,55,68,73,0,2,1,1
female,group B,high school,free/reduced,none,61,74,71,0,1,0,1
female,group B,associate's degree,free/reduced,none,35,34,36,0,1,0,1
male,group C,high school,free/reduced,none,75,77,66,1,2,0,1
female,group B,some high school,free/reduced,completed,73,91,88,0,1,0,0
female,group C,high school,free/reduced,none,56,62,57,0,2,0,1
male,group D,associate's degree,standard,none,80,70,73,1,3,1,1
male,group C,some high school,standard,completed,83,81,78,1,2,1,0
female,group D,some college,free/reduced,completed,64,82,80,0,3,0,0
female,group C,some high school,standard,none,23,33,33,0,2,1,1
female,group D,some high school,free/reduced,completed,41,58,59,0,3,0,0
male,group E,some college,standard,completed,61,49,52,1,4,1,0
male,group B,bachelor's degree,standard,none,63,46,46,1,1,1,1
male,group B,associate's degree,free/reduced,completed,84,91,89,1,1,0,0
male,group C,some college,standard,none,55,61,59,1,2,1,1
male,group A,associate's degree,standard,completed,85,75,74,1,0,1,0
male,group B,high school,standard,none,65,61,57,1,1,1,1
male,group C,associate's degree,standard,none,88,80,81,1,2,1,1
male,group D,master's degree,free/reduced,completed,91,93,95,1,3,0,0
female,group A,some college,standard,none,51,46,42,0,0,1,1
male,group C,some college,standard,completed,73,77,76,1,2,1,0
female,group D,some college,standard,none,73,89,89,0,3,1,1
male,group D,master's degree,standard,none,100,97,91,1,3,1,1
female,group D,some high school,standard,completed,48,68,68,0,3,1,0
male,group E,some college,standard,none,98,79,85,1,4,1,1
male,group B,master's degree,standard,none,68,65,60,1,1,1,1
male,group C,bachelor's degree,standard,none,64,62,58,1,2,1,1
male,group C,associate's degree,free/reduced,completed,72,67,61,1,2,0,0
female,group C,bachelor's degree,standard,none,63,74,75,0,2,1,1
male,group C,some college,standard,none,43,51,38,1,2,1,1
male,group D,some college,standard,none,80,75,74,1,3,1,1
female,group C,some college,standard,none,71,88,83,0,2,1,1
female,group C,associate's degree,standard,completed,91,96,97,0,2,1,0
female,group D,some college,standard,completed,68,84,87,0,3,1,0
female,group B,associate's degree,standard,none,73,80,78,0,1,1,1
female,group B,high school,free/reduced,completed,75,90,95,0,1,0,0
male,group C,some college,free/reduced,none,83,62,64,1,2,0,1
male,group D,high school,standard,none,88,72,74,1,3,1,1
male,group C,bachelor's degree,standard,none,59,50,53,1,2,1,1
male,group D,associate's degree,standard,none,74,69,63,1,3,1,1
female,group C,some college,free/reduced,none,43,58,60,0,2,0,1
female,group C,high school,free/reduced,none,76,90,84,0,2,0,1
female,group D,some high school,standard,none,74,75,74,0,3,1,1
female,group B,some high school,standard,completed,69,76,72,0,1,1,0
female,group B,some high school,standard,none,62,78,74,0,1,1,1
male,group C,associate's degree,free/reduced,completed,61,58,56,1,2,0,0
male,group E,some college,standard,none,88,81,77,1,4,1,1
female,group D,some high school,free/reduced,completed,64,84,83,0,3,0,0
female,group B,bachelor's degree,standard,none,65,79,73,0,1,1,1
female,group C,some college,standard,completed,73,86,89,0,2,1,0
female,group C,master's degree,standard,completed,50,64,63,0,2,1,0
female,group B,associate's degree,standard,completed,63,72,78,0,1,1,0
female,group E,bachelor's degree,standard,none,98,95,100,0,4,1,1
female,group E,high school,standard,none,90,96,88,0,4,1,1
male,group C,high school,free/reduced,completed,64,71,68,1,2,0,0
female,group B,high school,free/reduced,none,38,55,52,0,1,0,1
female,group B,bachelor's degree,standard,none,84,91,93,0,1,1,1
male,group D,high school,standard,completed,81,74,79,1,3,1,0
male,group D,master's degree,standard,none,82,84,81,1,3,1,1
female,group D,associate's degree,free/reduced,completed,64,67,75,0,3,0,0
female,group B,high school,standard,none,55,60,67,0,1,1,1
female,group D,bachelor's degree,free/reduced,completed,59,78,80,0,3,0,0
female,group E,some college,standard,none,83,90,88,0,4,1,1
male,group B,associate's degree,standard,completed,76,79,80,1,1,1,0
female,group D,some high school,standard,completed,83,95,97,0,3,1,0
female,group C,associate's degree,standard,none,69,75,75,0,2,1,1
female,group C,some college,free/reduced,none,43,65,60,0,2,0,1
female,group C,associate's degree,free/reduced,none,52,65,60,0,2,0,1
female,group C,some college,standard,none,56,58,55,0,2,1,1
male,group D,some high school,free/reduced,completed,47,46,51,1,3,0,0
male,group D,master's degree,standard,none,71,61,63,1,3,1,1
female,group C,master's degree,standard,completed,66,70,83,0,2,1,0
male,group C,some college,standard,none,81,65,60,1,2,1,1
female,group E,master's degree,standard,none,85,90,88,0,4,1,1
female,group E,master's degree,standard,none,76,77,77,0,4,1,1
female,group D,some college,free/reduced,none,50,66,66,0,3,0,1
male,group C,high school,standard,none,76,81,74,1,2,1,1
male,group C,some college,standard,none,65,64,61,1,2,1,1
female,group D,high school,standard,none,59,69,64,0,3,1,1
male,group C,high school,standard,none,84,77,80,1,2,1,1
male,group E,bachelor's degree,standard,none,85,77,78,1,4,1,1
female,group D,associate's degree,standard,none,61,56,60,0,3,1,1
female,group A,bachelor's degree,standard,completed,73,79,81,0,0,1,0
male,group D,some high school,standard,none,82,77,72,1,3,1,1
female,group E,associate's degree,standard,none,75,70,71,0,4,1,1
male,group C,bachelor's degree,standard,none,91,83,82,1,2,1,1
female,group C,master's degree,standard,none,67,78,80,0,2,1,1
male,group D,high school,standard,completed,62,69,67,1,3,1,0
male,group B,master's degree,standard,none,61,56,52,1,1,1,1
female,group C,high school,standard,none,66,77,80,0,2,1,1
male,group A,master's degree,standard,none,59,57,51,1,0,1,1
male,group E,some college,standard,none,88,76,81,1,4,1,1
female,group B,associate's degree,free/reduced,none,67,73,74,0,1,0,1
female,group B,associate's degree,standard,completed,91,99,100,0,1,1,0
male,group C,associate's degree,free/reduced,completed,87,82,79,1,2,0,0
male,group B,some college,standard,completed,83,79,80,1,1,1,0
female,group D,associate's degree,standard,none,70,79,76,0,3,1,1
male,group E,associate's degree,standard,none,83,83,78,1,4,1,1
male,group C,associate's degree,standard,none,49,53,47,1,2,1,1
male,group D,high school,standard,completed,65,60,57,1,3,1,0
male,group B,associate's degree,free/reduced,completed,50,56,55,1,1,0,0
male,group A,some college,standard,none,62,58,57,1,0,1,1
male,group E,bachelor's degree,standard,none,56,50,50,1,4,1,1
female,group C,associate's degree,standard,none,44,49,53,0,2,1,1
female,group E,some high school,free/reduced,none,63,72,60,0,4,0,1
male,group D,high school,standard,completed,72,69,74,1,3,1,0
female,group D,bachelor's degree,free/reduced,completed,64,77,77,0,3,0,0
female,group B,some college,standard,completed,61,75,82,0,1,1,0
male,group D,some college,free/reduced,none,82,72,69,1,3,0,1
female,group A,some high school,standard,completed,57,68,74,0,0,1,0
male,group E,master's degree,standard,none,43,45,38,1,4,1,1
male,group D,some high school,standard,none,69,56,59,1,3,1,1
female,group D,master's degree,standard,none,62,71,74,0,3,1,1
female,group B,some high school,standard,none,60,73,68,0,1,1,1
male,group E,high school,standard,none,81,70,70,1,4,1,1
female,group C,associate's degree,free/reduced,completed,68,84,87,0,2,0,0
male,group C,associate's degree,standard,none,65,63,57,1,2,1,1
female,group B,high school,standard,none,59,72,67,0,1,1,1
female,group B,associate's degree,standard,none,81,89,86,0,1,1,1
male,group A,master's degree,free/reduced,none,84,85,87,1,0,0,1
female,group A,high school,standard,completed,56,68,70,0,0,1,0
male,group B,master's degree,free/reduced,completed,71,75,73,1,1,0,0
female,group D,master's degree,free/reduced,none,93,98,94,0,3,0,1
female,group C,high school,standard,none,77,81,85,0,2,1,1
male,group C,some college,standard,none,50,40,44,1,2,1,1
female,group D,some college,standard,none,75,75,78,0,3,1,1
female,group C,bachelor's degree,standard,none,64,82,80,0,2,1,1
male,group C,bachelor's degree,standard,none,77,65,69,1,2,1,1
female,group A,some high school,standard,completed,64,81,87,0,0,1,0
male,group B,some high school,standard,none,71,63,55,1,1,1,1
male,group D,some high school,free/reduced,completed,58,57,53,1,3,0,0
female,group D,high school,free/reduced,none,47,66,66,0,3,0,1
male,group D,associate's degree,standard,none,57,63,54,1,3,1,1
male,group C,some college,standard,completed,82,89,86,1,2,1,0
female,group B,master's degree,standard,none,53,61,59,0,1,1,1
female,group C,associate's degree,free/reduced,completed,89,98,99,0,2,0,0
female,group E,some college,standard,completed,89,94,94,0,4,1,0
female,group A,some college,free/reduced,completed,75,97,92,0,0,0,0
male,group D,some college,free/reduced,none,62,61,57,1,3,0,1
female,group B,high school,standard,none,63,76,67,0,1,1,1
male,group E,high school,standard,none,100,91,85,1,4,1,1
female,group B,associate's degree,standard,none,62,81,77,0,1,1,1
female,group B,associate's degree,standard,none,75,95,94,0,1,1,1
male,group C,some college,standard,none,51,56,53,1,2,1,1
male,group E,master's degree,free/reduced,none,74,67,67,1,4,0,1
male,group C,high school,free/reduced,none,66,66,58,1,2,0,1
male,group C,some high school,standard,completed,52,59,59,1,2,1,0
male,group E,master's degree,free/reduced,none,69,56,56,1,4,0,1
female,group E,some high school,free/reduced,completed,46,57,57,0,4,0,0
female,group E,some college,standard,none,74,77,73,0,4,1,1
male,group B,master's degree,standard,none,100,90,88,1,1,1,1
male,group A,some high school,standard,none,83,77,77,1,0,1,1
male,group D,associate's degree,free/reduced,completed,82,78,90,1,3,0,0
female,group D,high school,standard,none,58,66,70,0,3,1,1
male,group A,some high school,free/reduced,completed,59,55,58,1,0,0,0
female,group D,high school,standard,none,77,90,82,0,3,1,1
female,group E,high school,standard,none,61,61,57,0,4,1,1
male,group C,master's degree,standard,none,85,81,80,1,2,1,1
female,group E,high school,free/reduced,completed,59,68,68,0,4,0,0
female,group C,master's degree,free/reduced,completed,71,92,93,0,2,0,0
female,group E,some high school,standard,none,52,71,70,0,4,1,1
female,group D,some college,standard,none,62,62,68,0,3,1,1
male,group B,associate's degree,standard,none,47,48,49,1,1,1,1
male,group D,some college,standard,completed,96,92,88,1,3,1,0
female,group E,some high school,standard,none,48,60,57,0,4,1,1
male,group C,high school,free/reduced,none,20,25,15,1,2,0,1
female,group C,some high school,standard,none,70,75,76,0,2,1,1
male,group B,high school,free/reduced,completed,59,62,58,1,1,0,0
female,group E,associate's degree,free/reduced,none,80,80,83,0,4,0,1
female,group B,some college,standard,none,83,88,90,0,1,1,1
male,group C,bachelor's degree,standard,none,75,71,76,1,2,1,1
male,group D,some college,free/reduced,completed,73,68,72,1,3,0,0
female,group C,associate's degree,standard,none,78,78,82,0,2,1,1
male,group B,bachelor's degree,standard,completed,94,82,93,1,1,1,0
female,group B,some high school,free/reduced,completed,46,63,66,0,1,0,0
male,group D,some college,free/reduced,completed,77,77,77,1,3,0,0
male,group B,some high school,standard,none,63,56,47,1,1,1,1
male,group B,bachelor's degree,standard,completed,64,70,72,1,1,1,0
female,group D,some high school,free/reduced,none,60,69,70,0,3,0,1
female,group D,some college,standard,none,74,79,73,0,3,1,1
female,group B,high school,free/reduced,none,67,77,81,0,1,0,1
male,group C,high school,standard,completed,78,81,80,1,2,1,0
male,group C,high school,standard,completed,88,75,72,1,2,1,0
female,group C,associate's degree,free/reduced,completed,52,64,66,0,2,0,0
male,group C,high school,standard,none,88,66,73,1,2,1,1
male,group A,high school,standard,completed,78,88,85,1,0,1,0
female,group C,high school,standard,none,55,62,61,0,2,1,1
female,group C,some college,standard,none,71,69,73,0,2,1,1
male,group C,high school,free/reduced,none,75,79,68,1,2,0,1
male,group B,bachelor's degree,standard,completed,62,60,55,1,1,1,0
female,group B,bachelor's degree,standard,completed,66,73,72,0,1,1,0
male,group D,bachelor's degree,standard,none,39,45,36,1,3,1,1
male,group B,some college,standard,none,85,80,73,1,1,1,1
female,group B,high school,free/reduced,none,46,57,53,0,1,0,1
male,group C,master's degree,free/reduced,completed,57,64,66,1,2,0,0
female,group B,associate's degree,standard,completed,65,78,81,0,1,1,0
male,group C,some college,standard,none,86,82,72,1,2,1,1
male,group C,some high school,standard,none,59,50,41,1,2,1,1
female,group D,some high school,free/reduced,completed,49,69,68,0,3,0,0
male,group B,some college,free/reduced,none,51,50,44,1,1,0,1
female,group A,associate's degree,standard,none,53,57,60,0,0,1,1
female,group C,some college,standard,none,82,84,83,0,2,1,1
female,group C,high school,free/reduced,none,51,68,66,0,2,0,1
female,group D,some high school,standard,none,74,79,79,0,3,1,1
female,group D,master's degree,free/reduced,none,73,72,75,0,3,0,1
female,group D,high school,free/reduced,none,42,61,63,0,3,0,1
female,group C,some college,free/reduced,completed,41,59,56,0,2,0,0
female,group C,some college,standard,none,84,88,84,0,2,1,1
female,group D,some college,free/reduced,completed,64,66,62,0,3,0,0
female,group E,high school,free/reduced,none,74,88,75,0,4,0,1
male,group C,associate's degree,standard,none,91,84,77,1,2,1,1
male,group D,associate's degree,standard,none,67,72,65,1,3,1,1
female,group B,high school,standard,none,54,56,59,0,1,1,1
female,group D,master's degree,standard,none,44,39,37,0,3,1,1
female,group C,master's degree,standard,completed,65,84,86,0,2,1,0
male,group A,associate's degree,standard,none,37,40,36,1,0,1,1
female,group A,associate's degree,free/reduced,none,58,75,78,0,0,0,1
female,group C,bachelor's degree,free/reduced,none,69,78,78,0,2,0,1
male,group C,some high school,standard,none,64,56,51,1,2,1,1
female,group C,high school,standard,none,70,63,63,0,2,1,1
female,group B,high school,free/reduced,none,55,68,66,0,1,0,1
female,group B,some college,standard,completed,45,63,67,0,1,1,0
male,group E,some college,standard,completed,80,70,71,1,4,1,0
male,group A,some college,standard,none,77,73,69,1,0,1,1
male,group B,bachelor's degree,free/reduced,none,57,54,44,1,1,0,1
female,group C,bachelor's degree,standard,none,67,72,72,0,2,1,1
female,group A,master's degree,standard,none,68,70,72,0,0,1,1
male,group C,high school,standard,none,49,53,43,1,2,1,1
female,group D,associate's degree,standard,none,42,48,42,0,3,1,1
female,group E,associate's degree,standard,none,96,93,100,0,4,1,1
female,group C,bachelor's degree,free/reduced,none,55,56,54,0,2,0,1
male,group D,master's degree,standard,none,70,65,56,1,3,1,1
male,group C,bachelor's degree,free/reduced,none,51,53,51,1,2,0,1
female,group B,some college,free/reduced,completed,27,49,50,0,1,0,0
male,group D,high school,standard,none,60,54,47,1,3,1,1
female,group B,some high school,standard,none,44,56,47,0,1,1,1
female,group C,high school,standard,completed,63,73,74,0,2,1,0
female,group C,associate's degree,standard,none,72,77,75,0,2,1,1
female,group D,some high school,standard,none,82,77,80,0,3,1,1
female,group B,bachelor's degree,standard,completed,82,85,99,0,1,1,0
female,group A,some high school,standard,none,70,82,83,0,0,1,1
male,group E,high school,free/reduced,completed,76,61,61,1,4,0,0
female,group C,bachelor's degree,free/reduced,completed,62,68,74,0,2,0,0
female,group B,high school,free/reduced,none,58,62,54,0,1,0,1
female,group A,high school,standard,none,61,73,70,0,0,1,1
male,group B,bachelor's degree,standard,completed,88,82,82,1,1,1,0
female,group C,some college,standard,none,61,64,54,0,2,1,1
male,group D,high school,standard,completed,88,77,78,1,3,1,0
male,group E,some high school,free/reduced,none,57,45,46,1,4,0,1
female,group D,high school,standard,completed,92,95,93,0,3,1,0
male,group C,master's degree,standard,none,80,79,73,1,2,1,1
male,group A,some high school,standard,none,62,54,52,1,0,1,1
female,group D,some college,standard,none,71,74,80,0,3,1,1
female,group D,high school,free/reduced,none,54,58,63,0,3,0,1
male,group A,some college,free/reduced,none,43,43,40,1,0,0,1
female,group C,some college,standard,none,51,57,60,0,2,1,1
male,group C,some high school,standard,none,57,46,44,1,2,1,1
male,group C,some high school,standard,completed,62,71,62,1,2,1,0
female,group B,some high school,standard,none,48,59,55,0,1,1,1
male,group C,associate's degree,free/reduced,completed,61,69,62,1,2,0,0
female,group D,some high school,standard,completed,94,91,98,0,3,1,0
male,group B,some college,free/reduced,none,44,45,41,1,1,0,1
female,group C,associate's degree,standard,none,56,71,70,0,2,1,1
male,group D,associate's degree,free/reduced,none,68,69,55,1,3,0,1
male,group D,some college,free/reduced,none,61,53,48,1,3,0,1
female,group C,high school,standard,completed,49,68,67,0,2,1,0
female,group D,some college,standard,none,71,71,76,0,3,1,1
female,group E,some high school,standard,none,78,86,80,0,4,1,1
male,group D,associate's degree,standard,none,74,70,63,1,3,1,1
